iter	Passed	Remaining
0	140	28057
1	145	14361
2	149	9797
3	152	7479
4	158	6173
5	162	5247
6	165	4575
7	170	4098
8	173	3683
9	176	3350
10	178	3072
11	183	2869
12	186	2678
13	190	2534
14	193	2384
15	196	2257
16	200	2162
17	204	2064
18	208	1981
19	211	1903
20	216	1842
21	220	1783
22	224	1726
23	227	1670
24	232	1625
25	235	1577
26	239	1534
27	243	1496
28	247	1459
29	250	1421
30	254	1385
31	256	1346
32	259	1312
33	263	1285
34	268	1265
35	270	1234
36	274	1207
37	278	1185
38	280	1156
39	282	1130
40	285	1105
41	287	1083
42	290	1060
43	292	1038
44	295	1017
45	297	996
46	300	978
47	302	958
48	304	938
49	307	922
50	310	906
51	313	892
52	315	875
53	318	861
54	322	850
55	324	835
56	327	822
57	330	809
58	332	795
59	337	788
60	340	776
61	344	766
62	346	753
63	349	742
64	353	733
65	356	722
66	358	712
67	360	700
68	363	690
69	365	678
70	367	667
71	369	656
72	371	647
73	374	636
74	376	627
75	378	617
76	380	608
77	384	601
78	389	596
79	392	589
80	394	580
81	396	571
82	400	563
83	403	557
84	406	549
85	412	546
86	418	543
87	424	540
88	428	533
89	432	528
90	434	520
91	437	513
92	440	506
93	442	499
94	447	495
95	452	489
96	454	482
97	456	475
98	458	467
99	460	460
100	462	453
101	465	447
102	469	441
103	473	436
104	477	431
105	481	426
106	484	421
107	488	415
108	492	410
109	494	404
110	496	398
111	500	393
112	502	387
113	505	381
114	508	375
115	512	370
116	515	365
117	518	360
118	520	354
119	523	349
120	525	343
121	530	338
122	534	334
123	538	329
124	540	324
125	543	319
126	546	314
127	549	308
128	552	303
129	555	298
130	559	294
131	562	289
132	565	284
133	567	279
134	570	274
135	575	270
136	583	268
137	589	264
138	594	260
139	600	257
140	607	254
141	613	250
142	619	246
143	627	243
144	648	246
145	661	244
146	667	240
147	670	235
148	675	231
149	680	226
150	684	222
151	688	217
152	691	212
153	693	207
154	696	202
155	699	197
156	701	192
157	704	187
158	706	182
159	709	177
160	711	172
161	714	167
162	716	162
163	719	157
164	721	152
165	723	148
166	726	143
167	729	138
168	731	134
169	733	129
170	741	125
171	743	121
172	745	116
173	747	111
174	749	107
175	752	102
176	754	98
177	756	93
178	759	89
179	761	84
180	763	80
181	765	75
182	767	71
183	769	66
184	772	62
185	774	58
186	777	54
187	779	49
188	781	45
189	784	41
190	787	37
191	789	32
192	792	28
193	794	24
194	796	20
195	798	16
196	800	12
197	803	8
198	805	4
199	807	0
