Tenth_Percentage,Twelfth_Percentage,JEE_Percentile,CUET_Score,Category,State,Family_Income,Gender,Gap_Year,CGPA,Backlogs,Extracurricular,Research_Paper,Internship,Desired_Branch,College_Tier,Admission_Chance
73.29,71.06,47.22,447.79,SC,Delhi,4.86,Male,0,7.63,0,0,0,0,CSE,Tier_1,0.4233
99.0,89.15,99.99,486.0,General,Delhi,4.53,Male,0,6.85,1,1,0,1,CSE,Tier_2,0.6332
86.43,83.55,88.14,528.77,SC,Gujarat,37.73,Female,0,8.0,0,1,1,1,ME,Tier_2,0.6974
84.39,76.32,69.82,535.48,ST,Tamil_Nadu,31.04,Male,0,6.25,0,1,1,0,IT,Tier_1,0.5072
76.07,65.93,81.32,571.3,OBC,Maharashtra,1.0,Male,1,6.98,0,1,0,1,ECE,Tier_2,0.586
77.37,81.78,76.91,551.67,OBC,Tamil_Nadu,7.63,Male,0,6.2,1,1,0,1,CSE,Tier_1,0.4071
84.79,70.36,51.85,557.85,OBC,Gujarat,2.85,Female,0,5.34,0,0,2,1,IT,Tier_2,0.5353
67.79,61.04,76.35,616.96,General,West_Bengal,18.55,Female,0,6.36,0,0,0,3,ECE,Tier_2,0.5932
95.08,77.52,91.91,610.42,ST,Kerala,8.83,Female,0,8.33,0,0,0,0,CSE,Tier_1,0.6087
91.32,88.82,54.71,652.04,SC,Gujarat,23.86,Female,0,8.06,0,1,0,1,EE,Tier_1,0.6272
99.0,90.15,68.84,552.03,ST,Delhi,3.71,Female,0,8.26,0,1,1,0,Chemical,Tier_2,0.716
74.17,78.99,75.16,609.7,ST,Maharashtra,3.46,Male,2,6.97,0,0,0,0,CE,Tier_2,0.596
93.87,79.43,80.23,774.53,SC,Tamil_Nadu,6.2,Female,0,6.1,0,1,0,2,Biotech,Tier_1,0.7138
72.8,60.94,99.99,587.14,SC,Tamil_Nadu,4.58,Male,0,7.79,0,0,1,2,Chemical,Tier_2,0.7641
98.64,85.49,99.99,654.62,EWS,Uttar_Pradesh,6.86,Female,0,7.06,1,0,1,1,CSE,Tier_2,0.6405
78.04,73.17,59.51,443.31,OBC,West_Bengal,19.1,Female,1,7.21,1,1,0,2,ECE,Tier_3,0.5668
62.04,65.1,56.24,541.93,ST,Delhi,10.74,Male,0,4.48,1,1,0,0,CSE,Tier_2,0.3387
79.21,61.99,68.51,515.37,ST,Kerala,5.83,Male,2,7.29,0,1,0,3,CE,Tier_2,0.6858
95.33,90.56,67.48,534.61,General,Uttar_Pradesh,7.71,Male,2,8.44,0,1,0,3,EE,Tier_1,0.6044
89.34,75.38,56.97,578.17,OBC,Rajasthan,2.08,Female,2,7.98,1,1,0,1,IT,Tier_2,0.4773
77.11,68.79,88.99,761.83,SC,Tamil_Nadu,1.55,Male,0,7.76,0,1,0,0,CE,Tier_1,0.6906
68.75,77.52,92.22,563.8,General,West_Bengal,19.47,Male,0,6.89,0,1,0,0,CSE,Tier_1,0.3829
99.0,71.83,99.99,617.79,OBC,Kerala,4.02,Male,1,7.37,1,1,0,0,ECE,Tier_1,0.5763
82.39,80.25,87.75,520.83,General,Delhi,23.27,Female,0,7.4,1,1,0,0,ME,Tier_3,0.6653
86.48,83.08,41.3,731.85,General,Tamil_Nadu,5.78,Female,0,8.41,0,0,0,0,ECE,Tier_1,0.4277
94.65,79.7,51.1,617.42,OBC,Rajasthan,8.23,Female,0,7.13,1,1,2,0,CSE,Tier_3,0.7091
54.62,54.66,70.35,422.41,General,Telangana,14.36,Female,1,5.81,0,0,0,0,Chemical,Tier_3,0.4756
